food_name,category,protein_g,energy_kcal,potassium_mg,phosphorus_mg,sodium_mg
"Apricot, processed (Prunus armeniaca)",Fruits,1.47,56.41,95,27.33,1.6
Avocado fruit (Persea sp.),Fruits,2.95,144.36,377,63.14,2.81
Bael fruit (Aegle marmelos),Fruits,2.63,135.99,409,37.29,1.56
"Banana, ripe, montham (Musa x paradisiaca)",Fruits,1.25,110.66,362,20.85,1.25
"Banana, ripe, poovam (Musa x paradisiaca)",Fruits,1.49,106.36,335,33.63,1
"Banana, ripe, red (Musa x paradisiaca)",Fruits,1.29,111.62,313,23.27,1.11
"Banana, ripe, robusta (Musa x paradisiaca)",Fruits,1.23,105.16,306,24.32,0.85
Black berry (Rubus sp.),Fruits,0.92,54.25,205,20.08,1.21
"Cherries, red (Prunus cerasus)",Fruits,1.49,59.75,165,25.31,1.64
"Currants, black (Ribes nigrum)",Fruits,1.51,54.25,283,78.8,1.45
Custard apple (Annona squamosa),Fruits,1.62,98.95,278,40.81,3.11
"Dates, dry, pale brown (Phoenix dactylifera)",Fruits,2.45,320.27,804,73.02,3.27
"Dates, dry, dark brown (Phoenix dactylifera)",Fruits,2.38,310.95,782,70.26,3.09
"Dates, processed (Phoenix dactylifera)",Fruits,1.18,286.09,289,33.88,1.6
Fig (Ficus carica),Fruits,2.03,81.5,231,21.62,2.37
Gooseberry (Emblica officinalis),Fruits,0.34,23.66,223,21.85,1.37
"Grapes, seeded, round, black (Vitis vinifera)",Fruits,0.76,60.71,171,21.04,1.93
"Grapes, seeded, round, green (Vitis vinifera)",Fruits,0.77,56.17,166,19.5,1.89
"Grapes, seeded, round, red (Vitis vinifera)",Fruits,0.95,58.32,188,27.91,1.59
"Grapes, seedless, oval, black (Vitis vinifera)",Fruits,1.41,94.41,237,29.02,1.83
"Grapes, seedless, round, green (Vitis vinifera)",Fruits,0.62,53.54,168,20.27,1.81
"Grapes, seedless, round, black (Vitis vinifera)",Fruits,1.24,89.39,235,26.68,1.92
"Guava, white flesh (Psidium guajava)",Fruits,1.44,32.27,283,23.54,2.87
"Guava, pink flesh (Psidium guajava)",Fruits,1.19,46.61,270,29.93,1.89
"Jack fruit, ripe (Artocarpus heterophyllus)",Fruits,2.74,72.18,279,23.02,1.62
"Jambu fruit, ripe (Syzygium samarangense)",Fruits,0.82,56.17,103,9.6,2.64
Karonda fruit (Carissa carandas),Fruits,1.15,33.7,351,32.62,2.55
"Lemon, juice (Citrus limon)",Fruits,0.41,36.57,113,9.86,1.21
"Lime, sweet,pulp (Citrus limetta)",Fruits,0.76,27.25,182,20.55,1.17
Litchi (Litchi chinensis),Fruits,0.99,53.78,161,23.32,0.54
"Mango, ripe, banganapalli (Mangifera indica)",Fruits,0.54,41.83,144,11.07,1.34
"Mango, ripe, gulabkhas (Mangifera indica)",Fruits,0.52,49.95,115,10.66,1.39
"Mango, ripe, himsagar (Mangifera indica)",Fruits,0.46,44.69,137,12.25,1.31
"Mango, ripe, kesar (Mangifera indica)",Fruits,0.54,55.21,143,12.36,1.43
"Mango, ripe, neelam (Mangifera indica)",Fruits,0.68,42.54,137,11.63,1.2
"Mango, ripe, paheri (Mangifera indica)",Fruits,0.68,44.93,153,15.18,1.63
"Mango, ripe, totapari (Mangifera indica)",Fruits,0.41,59.27,160,9.87,1.32
Mangosteen (Garcinia mangostana),Fruits,0.63,52.34,46.93,7.18,3.79
Manila tamarind (Pithecellobium dulce),Fruits,3.56,81.74,376,73.53,1.35
"Musk melon, orange flesh (Cucumis melon)",Fruits,0.42,23.18,206,17.28,14.94
"Musk melon, yellow flesh (Cucumis melon)",Fruits,0.53,27.72,196,13.09,15.78
"Orange, pulp (Citrus aurantium)",Fruits,0.7,37.28,164,12.9,1.47
"Papaya, ripe (Carica papaya)",Fruits,0.42,23.9,173,17.73,6.68
Peach (Prunus communis),Fruits,0.86,40.15,281,19.08,1.15
