food_name,category,protein_g,energy_kcal,potassium_mg,phosphorus_mg,sodium_mg,safety,diet_type,kidney_score
Kiriyan (Atule mate),Marine fish,22.49,132.89,277.0,214.0,35.88,Moderate,Vegetarian,96.146
Kite fish (Mobula kuhlii),Marine fish,23.07,98.71,387.0,231.0,59.03,Avoid,Non-Vegetarian,89.2185
Korka (Terapon jarbua),Marine fish,23.72,126.2,349.0,229.0,43.3,Moderate,Vegetarian,92.65499999999999
Kulam paarai (Carangoides fulvoguttatus),Marine fish,21.62,119.74,366.0,244.0,49.17,Avoid,Vegetarian,88.6615
Maagaa (Polynemus plebeius),Marine fish,20.11,87.48,375.0,181.0,52.28,Avoid,Vegetarian,89.696
Mackerel (Rastrelliger kanagurta),Marine fish,21.51,101.1,309.0,231.0,83.01,Moderate,Vegetarian,90.35950000000001
Manda clathi (Naso reticulatus),Marine fish,21.27,95.12,431.0,320.0,58.5,Avoid,Vegetarian,80.795
Matha (Acanthurus mata),Marine fish,21.17,92.97,450.0,263.0,62.58,Avoid,Vegetarian,82.39099999999999
Milk fish (Chanos chanos),Marine fish,23.66,105.64,301.0,292.0,42.98,Avoid,Non-Vegetarian,91.86099999999999
Moon fish (Mene maculata),Marine fish,20.74,125.72,157.0,169.0,65.17,Moderate,Non-Vegetarian,100.0
Mullet (Mugil cephalus),Marine fish,20.23,93.93,331.0,222.0,66.09,Moderate,Vegetarian,89.2755
Mural (Tylosurus crocodilus),Marine fish,19.04,82.46,330.0,224.0,110.0,Moderate,Vegetarian,85.84
Myil meen (Istiophorus platypterus),Marine fish,22.89,97.99,365.0,268.0,61.96,Avoid,Vegetarian,88.142
Nalla bontha (Epinephelus sp.),Marine fish,19.82,87.0,403.0,197.0,57.87,Avoid,Vegetarian,86.9265
Narba (Caranx sexfasciatus),Marine fish,21.95,103.25,384.0,235.0,49.51,Avoid,Vegetarian,88.5245
Paarai (Caranx heberi),Marine fish,21.58,103.97,384.0,284.0,45.22,Avoid,Vegetarian,85.919
Padayappa (Canthidermis maculata),Marine fish,19.7,86.04,490.0,256.0,33.87,Avoid,Vegetarian,80.7065
Pali kora (Panna microdon),Marine fish,19.25,94.17,364.0,195.0,54.85,Avoid,Vegetarian,88.55749999999999
Pambada (Lepturacanthus savala),Marine fish,21.95,128.35,263.0,170.0,82.65,Moderate,Vegetarian,96.1675
Pandukopa (Pseudosciaena manchurica),Marine fish,19.73,86.04,427.0,203.0,49.15,Avoid,Vegetarian,85.77250000000001
Parava (Lactarius lactarius),Marine fish,21.5,111.62,363.0,194.0,84.08,Avoid,Vegetarian,89.446
Parcus (Psettodes erumei),Marine fish,19.87,86.28,446.0,218.0,64.38,Avoid,Vegetarian,83.451
Parrot fish (Scarus ghobban),Marine fish,20.82,89.63,432.0,316.0,51.79,Avoid,Non-Vegetarian,80.8305
Perinkilichai (Pinjalo pinjalo),Marine fish,20.89,92.5,365.0,236.0,34.16,Avoid,Vegetarian,89.132
Phopat (Coryphaena hippurus),Marine fish,22.05,101.34,439.0,258.0,36.2,Avoid,Vegetarian,85.38999999999999
Piranha (Pygopritis sp.),Marine fish,20.46,131.21,323.0,170.0,38.97,Moderate,Vegetarian,93.8615
"Pomfret, black (Parastromateus niger)",Marine fish,18.91,123.09,295.0,195.0,69.09,Moderate,Vegetarian,90.9555
"Pomfret, snub nose (Trachinotus blochii)",Marine fish,21.05,89.63,483.0,247.0,36.1,Avoid,Vegetarian,82.74499999999999
"Pomfret, white (Pampus argenteus)",Marine fish,19.02,122.61,255.0,211.0,46.09,Moderate,Vegetarian,93.4155
Pranel (Gerres sp.),Marine fish,19.69,96.8,251.0,166.0,52.37,Moderate,Vegetarian,96.2215
Pulli paarai (Gnathanodon speciosus),Marine fish,20.06,95.36,335.0,232.0,58.56,Moderate,Vegetarian,88.78200000000001
Queen fish (Scomberoides commersonianus),Marine fish,20.97,95.6,440.0,235.0,48.93,Avoid,Non-Vegetarian,84.7735
Raai fish (Lobotes surinamensis),Marine fish,21.61,102.77,347.0,213.0,47.62,Moderate,Non-Vegetarian,91.229
Raai vanthu (Epinephelus chlorostigma),Marine fish,19.39,97.99,311.0,178.0,50.83,Moderate,Vegetarian,92.3985
Rani (Pink perch),Marine fish,18.83,90.11,335.0,208.0,63.17,Moderate,Vegetarian,88.52149999999999
"Ray fish, bow head, spotted (Rhina ancylostoma)",Marine fish,19.03,83.41,353.0,196.0,105.0,Avoid,Non-Vegetarian,86.33
Red snapper (Lutjanus argentimaculatus),Marine fish,22.79,104.45,446.0,204.0,59.89,Avoid,Vegetarian,87.2955
"Red snapper, small (Priacanthus hamrur)",Marine fish,21.5,107.79,327.0,204.0,38.97,Moderate,Vegetarian,93.00150000000001
Sadaya (Platax orbicularis),Marine fish,20.68,110.42,360.0,221.0,49.41,Avoid,Vegetarian,89.15950000000001
Salmon (Salmo salar),Marine fish,20.97,172.32,345.0,211.0,20.25,Moderate,Vegetarian,92.1575
Sangada (Nemipterus japanicus),Marine fish,20.26,105.88,217.0,211.0,77.82,Moderate,Vegetarian,94.96900000000001
Sankata paarai (Caranx ignobilis),Marine fish,21.87,103.73,379.0,246.0,22.33,Avoid,Vegetarian,89.5035
Sardine (Sardinella longiceps),Marine fish,17.91,152.25,228.0,191.0,38.49,Moderate,Vegetarian,95.0355
Shark (Carcharhinus sorrah),Marine fish,21.6,95.12,372.0,263.0,63.63,Avoid,Vegetarian,86.6685
"Shark, hammer head (Sphyrna mokarran)",Marine fish,23.4,103.25,304.0,200.0,53.55,Moderate,Vegetarian,95.52250000000001
"Shark, spotted (Stegostoma fasciatum)",Marine fish,20.95,91.78,318.0,179.0,131.0,Moderate,Vegetarian,89.55
Shelavu (Sphyraena jello),Marine fish,22.46,106.6,30.81,453.0,38.73,Avoid,Vegetarian,96.333
Silan (Silonia silondia),Marine fish,22.72,151.29,223.0,163.0,29.39,Moderate,Vegetarian,100.0
Silk fish (Beryx sp.),Marine fish,20.65,97.51,440.0,211.0,41.57,Avoid,Non-Vegetarian,86.0215
Silver carp (Hypophthalmichthys molitrix),Marine fish,21.71,132.65,249.0,187.0,19.6,Moderate,Vegetarian,98.93
Sole fish (Cynoglossus arel),Marine fish,19.05,87.72,199.0,123.0,74.57,Safe,Non-Vegetarian,99.22149999999999
Stingray (Dasyatis pastinaca),Marine fish,23.98,97.51,270.0,174.0,64.14,Moderate,Vegetarian,98.57300000000001
Tarlava (Drepane punctata),Marine fish,21.72,98.95,370.0,199.0,67.4,Avoid,Vegetarian,89.89999999999999
Tholam (Plectorhinchus schotaf),Marine fish,20.78,103.25,382.0,241.0,28.0,Avoid,Vegetarian,88.23
Tilapia (Oreochromis niloticus),Marine fish,18.48,83.41,255.0,184.0,52.55,Moderate,Vegetarian,93.9025
Tuna (Euthynnus affinis),Marine fish,24.5,112.33,357.0,292.0,52.89,Avoid,Vegetarian,89.40550000000002
"Tuna, striped (Katsuwonus pelamis)",Marine fish,21.28,96.32,273.0,209.0,22.6,Moderate,Vegetarian,96.05
Valava (Chirocentrus nudus),Marine fish,21.8,97.99,365.0,229.0,91.91,Avoid,Vegetarian,87.5045
Vanjaram (Scomberomorus commerson),Marine fish,22.28,136.23,473.0,302.0,34.85,Avoid,Vegetarian,81.7875
Vela meen (Aprion virescens),Marine fish,22.16,128.35,387.0,280.0,38.15,Avoid,Vegetarian,86.9025
Vora (Siganus javus),Marine fish,20.14,100.86,401.0,246.0,43.66,Avoid,Vegetarian,85.60700000000001
Whale shark (Galeocerdo cuvier),Marine fish,21.83,95.84,365.0,274.0,116.0,Avoid,Vegetarian,84.08
Xiphinis (Xiphias gladius),Marine fish,19.82,88.43,306.0,255.0,66.21,Avoid,Vegetarian,88.45949999999999
"Eggs, Cat fish (Ompok bimaculatus)",Marine fish,24.68,143.4,252.0,445.0,54.83,Avoid,Non-Vegetarian,87.08850000000001
Crab (Menippe mercenaria),Marine shellfish,10.23,81.98,171.0,100.0,244.0,Moderate,Vegetarian,84.48
"Crab, sea (Portunus sanguinolentus)",Marine shellfish,15.36,67.64,252.0,193.0,313.0,Avoid,Vegetarian,77.46000000000001
"Lobster, brown (Thenus orientalis)",Marine shellfish,15.96,69.79,212.0,223.0,140.0,Moderate,Vegetarian,87.21000000000001
"Lobster, king size (Thenus orientalis)",Marine shellfish,18.54,89.63,315.0,261.0,191.0,Avoid,Vegetarian,80.19
Mud crab (Scylla tranquebarica),Marine shellfish,10.0,45.41,227.0,153.0,305.0,Avoid,Vegetarian,75.75
Oyster (Crassostrea sp.),Marine shellfish,9.51,60.23,122.0,170.0,41.01,Moderate,Vegetarian,92.85950000000001
"Tiger prawns, brown (Solenocera crassicornis)",Marine shellfish,14.85,65.25,141.0,189.0,188.0,Moderate,Non-Vegetarian,88.94999999999999
"Tiger Prawns, orange (Penaeus monodon)",Marine shellfish,14.25,64.53,140.0,191.0,61.05,Moderate,Non-Vegetarian,94.64750000000001
"Clam, green shell (Perna viridis)",Marine mollusks,12.14,58.08,152.0,128.0,322.0,Avoid,Vegetarian,82.04
"Clam, white shell, ribbed (Meretrix meretrix)",Marine mollusks,11.82,59.75,245.0,192.0,404.0,Avoid,Vegetarian,69.77000000000001
Octopus (Octopus vulgaris),Marine mollusks,14.71,79.83,181.0,131.0,230.0,Moderate,Vegetarian,87.61000000000001
"Squid, black (Loligo sp.)",Marine mollusks,16.1,80.07,162.0,173.0,179.0,Moderate,Vegetarian,90.4
"Squid, hard shell (Sepia pharaonis)",Marine mollusks,16.82,76.48,116.0,173.0,99.14,Moderate,Vegetarian,97.41299999999998
"Squid, red (Loligo duvaucelii)",Marine mollusks,16.25,78.63,134.0,167.0,121.0,Moderate,Vegetarian,95.15
"Squid, white, small (Uroteuthis duvauceli)",Marine mollusks,17.41,84.37,134.0,151.0,154.0,Moderate,Vegetarian,95.46
Cat fish (Tandanus tandanus),Freshwater fish and shellfish,15.86,123.8,250.0,157.0,28.29,Moderate,Non-Vegetarian,94.0955
Catla (Catla catla),Freshwater fish and shellfish,17.94,94.17,301.0,182.0,36.56,Moderate,Vegetarian,91.962
Freshwater Eel (Anguilla anguilla),Freshwater fish and shellfish,20.41,107.79,450.0,361.0,88.67,Avoid,Vegetarian,75.4265
Gold fish (Carassius auratus),Freshwater fish and shellfish,16.91,94.65,243.0,185.0,27.53,Moderate,Non-Vegetarian,94.1335
Pangas (Pangasianodon hypophthalmus),Freshwater fish and shellfish,17.12,203.63,282.0,179.0,37.42,Moderate,Vegetarian,92.19900000000001
Rohu (Labeo rohita),Freshwater fish and shellfish,19.71,102.29,303.0,200.0,35.56,Moderate,Vegetarian,92.78199999999998
Crab (Pachygrapsus sp.),Freshwater fish and shellfish,13.23,78.15,286.0,208.0,280.0,Moderate,Vegetarian,74.53
"Prawns, big (Macrobrachium rosenbergii)",Freshwater fish and shellfish,19.24,90.82,269.0,237.0,849.0,Avoid,Non-Vegetarian,51.48999999999998
"Prawns, small (Macrobrachium sp.)",Freshwater fish and shellfish,13.07,70.98,224.0,192.0,77.71,Moderate,Non-Vegetarian,88.3845
Tiger prawns (Macrobrachium sp.),Freshwater fish and shellfish,14.24,67.88,149.0,155.0,80.77,Moderate,Non-Vegetarian,95.0015
