food_name,category,protein_g,energy_kcal,potassium_mg,phosphorus_mg,sodium_mg,safety,diet_type,kidney_score
Drumstick leaves (Moringa oleifera),Green leafy vegetables,6.41,67.4,397.0,109.0,9.34,Avoid,Vegetarian,80.643
Fenugreek leaves (Trigonella foenum graecum),Green leafy vegetables,3.68,34.42,226.0,53.05,47.01,Moderate,Vegetarian,87.37700000000001
Garden cress (Lepidium sativum),Green leafy vegetables,5.62,49.71,379.0,45.55,25.35,Avoid,Vegetarian,83.125
"Gogu leaves, green (Hibiscus cannabinus)",Green leafy vegetables,1.86,36.33,260.0,41.99,12.34,Moderate,Vegetarian,86.14349999999999
"Gogu leaves, red (Hibiscus cannabinus)",Green leafy vegetables,1.85,36.57,161.0,36.38,14.08,Safe,Vegetarian,91.277
"Knol-Khol, leaves (Brassica oleracea var. gongylodes)",Green leafy vegetables,3.12,42.54,309.0,55.02,26.8,Moderate,Vegetarian,83.579
Lettuce (Lactuca sativa),Green leafy vegetables,1.54,21.75,279.0,44.1,17.53,Moderate,Vegetarian,84.50850000000001
Mustard leaves (Brassica juncea),Green leafy vegetables,3.52,30.35,403.0,71.62,19.14,Avoid,Vegetarian,78.832
Pak Choi leaves (Brassica rapa var. chinensis),Green leafy vegetables,1.41,16.01,250.0,25.95,33.73,Moderate,Vegetarian,85.926
Parsley (Petroselinum crispum),Green leafy vegetables,5.55,72.9,466.0,78.56,53.08,Avoid,Vegetarian,75.668
Ponnaganni (Alternanthera sessilis),Green leafy vegetables,5.29,50.91,457.0,58.26,39.36,Avoid,Vegetarian,77.55900000000001
"Pumpkin leaves, tender (Cucurbita maxima)",Green leafy vegetables,4.21,44.22,423.0,64.54,12.2,Avoid,Vegetarian,79.22299999999998
Radish leaves (Raphanus sativus),Green leafy vegetables,2.22,26.05,304.0,50.08,17.39,Moderate,Vegetarian,83.64649999999999
Rumex leaves (Rumex patientia),Green leafy vegetables,1.62,19.6,336.0,32.4,19.95,Moderate,Vegetarian,82.2025
Spinach (Spinacia oleracea),Green leafy vegetables,2.14,24.38,625.0,32.59,42.55,Avoid,Vegetarian,67.133
"Tamarind leaves, tender (Tamarindus indica)",Green leafy vegetables,5.84,71.46,465.0,86.86,13.43,Avoid,Vegetarian,77.5755
Ash gourd (Benincasa hispida),Other vegetables,0.79,17.45,372.0,29.07,0.77,Avoid,Vegetarian,80.69800000000001
"Bamboo shoot, tender (Bambusa vulgaris)",Other vegetables,1.33,16.25,422.0,39.63,1.12,Avoid,Vegetarian,78.19250000000001
"Bean scarlet, tender (Phaseolus coccineus)",Other vegetables,2.86,42.78,164.0,62.13,1.46,Safe,Vegetarian,91.4805
"Bitter gourd, jagged, teeth ridges, elongate (Momordica charantia)",Other vegetables,1.44,20.79,326.0,44.9,13.09,Moderate,Vegetarian,82.2405
"Bitter gourd, jagged, teeth ridges, short (Momordica charantia)",Other vegetables,1.34,18.88,282.0,40.21,12.59,Moderate,Vegetarian,84.60000000000002
"Bitter gourd, jagged, smooth ridges, elongate (Momordica charantia)",Other vegetables,1.61,19.36,356.0,44.75,11.16,Avoid,Vegetarian,81.0145
"Bottle gourd, elongate, pale green (Lagenaria vulgaris)",Other vegetables,0.53,10.99,124.0,16.01,1.46,Safe,Vegetarian,93.4565
"Bottle gourd, round, pale green (Lagenaria vulgaris)",Other vegetables,0.42,13.62,116.0,16.99,1.52,Safe,Vegetarian,93.6945
"Bottle gourd, elongate, dark green (Lagenaria vulgaris)",Other vegetables,0.49,12.91,171.0,26.86,1.35,Safe,Vegetarian,90.5295
Brinjal-1 (Solanum melongena),Other vegetables,1.77,27.25,302.0,39.95,3.15,Moderate,Vegetarian,84.515
Brinjal-2 (Solanum melongena),Other vegetables,1.82,23.66,206.0,44.65,3.92,Moderate,Vegetarian,89.0915
Brinjal-3 (Solanum melongena),Other vegetables,1.36,24.38,192.0,27.79,3.12,Safe,Vegetarian,90.2145
Brinjal-4 (Solanum melongena),Other vegetables,1.51,23.9,268.0,31.82,3.31,Moderate,Vegetarian,86.35350000000001
Brinjal-5 (Solanum melongena),Other vegetables,1.38,26.53,227.0,33.13,4.03,Moderate,Vegetarian,88.17200000000001
Brinjal-6 (Solanum melongena),Other vegetables,1.46,23.18,289.0,30.12,3.75,Moderate,Vegetarian,85.31649999999999
Brinjal-7 (Solanum melongena),Other vegetables,1.4,23.42,238.0,29.58,3.45,Moderate,Vegetarian,87.8485
Brinjal-8 (Solanum melongena),Other vegetables,1.82,27.96,284.0,35.84,4.73,Moderate,Vegetarian,85.59149999999998
Brinjal-9 (Solanum melongena),Other vegetables,1.47,25.33,224.0,35.71,3.08,Moderate,Vegetarian,88.3305
Brinjal-10 (Solanum melongena),Other vegetables,1.68,27.72,252.0,37.36,4.35,Moderate,Vegetarian,86.99450000000002
Brinjal-11 (Solanum melongena),Other vegetables,1.43,25.1,260.0,33.28,3.47,Moderate,Vegetarian,86.5925
Brinjal-12 (Solanum melongena),Other vegetables,1.6,22.23,259.0,37.81,3.88,Moderate,Vegetarian,86.56549999999999
Brinjal-13 (Solanum melongena),Other vegetables,1.49,29.64,260.0,26.81,3.0,Moderate,Vegetarian,86.99949999999998
Brinjal-14 (Solanum melongena),Other vegetables,1.56,25.33,246.0,30.07,3.71,Moderate,Vegetarian,87.571
Brinjal-15 (Solanum melongena),Other vegetables,1.58,27.25,215.0,30.32,3.34,Moderate,Vegetarian,89.14699999999999
Brinjal-16 (Solanum melongena),Other vegetables,1.26,24.62,294.0,29.86,3.22,Moderate,Vegetarian,84.906
Brinjal-17 (Solanum melongena),Other vegetables,1.18,21.75,233.0,35.94,3.09,Moderate,Vegetarian,87.5785
Brinjal-18 (Solanum melongena),Other vegetables,1.47,27.72,208.0,28.03,3.63,Moderate,Vegetarian,89.487
Brinjal-19 (Solanum melongena),Other vegetables,1.26,23.9,243.0,29.76,3.11,Moderate,Vegetarian,87.4665
Brinjal-20 (Solanum melongena),Other vegetables,1.44,23.66,239.0,31.21,3.58,Moderate,Vegetarian,87.75049999999999
