food_name,category,protein_g,energy_kcal,potassium_mg,phosphorus_mg,sodium_mg,safety
Brinjal-4 (Solanum melongena),Other vegetables,1.51,23.9,268.0,31.82,3.31,Moderate
Brinjal-5 (Solanum melongena),Other vegetables,1.38,26.53,227.0,33.13,4.03,Moderate
Brinjal-6 (Solanum melongena),Other vegetables,1.46,23.18,289.0,30.12,3.75,Moderate
Brinjal-7 (Solanum melongena),Other vegetables,1.4,23.42,238.0,29.58,3.45,Moderate
Brinjal-8 (Solanum melongena),Other vegetables,1.82,27.96,284.0,35.84,4.73,Moderate
Brinjal-9 (Solanum melongena),Other vegetables,1.47,25.33,224.0,35.71,3.08,Moderate
Brinjal-10 (Solanum melongena),Other vegetables,1.68,27.72,252.0,37.36,4.35,Moderate
Brinjal-11 (Solanum melongena),Other vegetables,1.43,25.1,260.0,33.28,3.47,Moderate
Brinjal-12 (Solanum melongena),Other vegetables,1.6,22.23,259.0,37.81,3.88,Moderate
Brinjal-13 (Solanum melongena),Other vegetables,1.49,29.64,260.0,26.81,3.0,Moderate
Brinjal-14 (Solanum melongena),Other vegetables,1.56,25.33,246.0,30.07,3.71,Moderate
Brinjal-15 (Solanum melongena),Other vegetables,1.58,27.25,215.0,30.32,3.34,Moderate
Brinjal-16 (Solanum melongena),Other vegetables,1.26,24.62,294.0,29.86,3.22,Moderate
Brinjal-17 (Solanum melongena),Other vegetables,1.18,21.75,233.0,35.94,3.09,Moderate
Brinjal-18 (Solanum melongena),Other vegetables,1.47,27.72,208.0,28.03,3.63,Moderate
Brinjal-19 (Solanum melongena),Other vegetables,1.26,23.9,243.0,29.76,3.11,Moderate
Brinjal-20 (Solanum melongena),Other vegetables,1.44,23.66,239.0,31.21,3.58,Moderate
Brinjal-21 (Solanum melongena),Other vegetables,1.36,27.01,252.0,34.98,3.06,Moderate
Brinjal - all varieties (Solanum melongena),Other vegetables,1.48,25.33,247.0,32.56,3.55,Moderate
Broad beans (Vicia faba),Other vegetables,3.85,29.4,362.0,67.97,20.74,Avoid
"Capsicum, green (Capsicum annuum)",Other vegetables,1.11,16.25,154.0,23.0,1.84,Safe
"Capsicum, red (Capsicum annuum)",Other vegetables,1.47,19.84,224.0,30.81,1.7,Moderate
"Capsicum, yellow (Capsicum annuum)",Other vegetables,1.35,18.64,242.0,43.33,1.56,Moderate
Cauliflower (Brassica oleracea var. botrytis),Other vegetables,2.15,22.94,329.0,47.33,30.72,Moderate
Celery stalk (Apium graveolens),Other vegetables,0.98,16.49,298.0,44.84,10.68,Moderate
Cho-cho-marrow (Sechium edule),Other vegetables,0.66,18.88,120.0,21.61,1.28,Safe
Cluster beans (Cyamopsis tetragonoloba),Other vegetables,3.55,40.15,301.0,45.28,4.05,Moderate
"Colocasia, stem, black (Colocasia esculenta)",Other vegetables,0.76,23.9,381.0,20.31,0.45,Avoid
"Colocasia, stem, green (Colocasia esculenta)",Other vegetables,0.91,19.36,414.0,30.73,0.6,Avoid
"Corn, baby (Zea mays)",Other vegetables,2.69,73.14,260.0,8.69,1.4,Moderate
"Cucumber, green, elongate (Cucumis sativus)",Other vegetables,0.71,19.6,183.0,28.34,6.33,Safe
"Cucumber, green, short (Cucumis sativus)",Other vegetables,0.83,17.45,198.0,29.74,6.11,Safe
"Cucumber, orange, round (Cucumis sativus)",Other vegetables,0.98,19.6,185.0,23.17,8.16,Safe
Drumstick (Moringa oleifera),Other vegetables,2.62,29.4,419.0,52.87,22.38,Avoid
"Field beans, tender, broad (Vicia faba)",Other vegetables,3.06,30.83,345.0,73.3,14.14,Moderate
"Field beans, tender, lean (Vicia faba)",Other vegetables,3.71,33.46,314.0,76.54,12.76,Moderate
"French beans, country (Phaseolus vulgaris)",Other vegetables,2.49,24.38,324.0,59.86,8.84,Moderate
"French beans, hybrid (Phaseolus vulgaris)",Other vegetables,2.12,22.23,317.0,45.9,9.18,Moderate
"Jack fruit, raw (Artocarpus heterophyllus)",Other vegetables,1.98,26.29,327.0,27.78,3.53,Moderate
"Jack fruit, seed, mature (Artocarpus heterophyllus)",Other vegetables,5.79,76.96,376.0,29.33,4.0,Avoid
Knol - Khol (Brassica oleracea),Other vegetables,1.58,16.01,327.0,40.77,27.46,Moderate
"Kovai, big (Coccinia cordifolia)",Other vegetables,1.39,17.45,198.0,36.9,1.53,Safe
"Kovai, small (Coccinia cordifolia)",Other vegetables,1.22,19.12,167.0,26.29,2.2,Safe
Ladies finger (Abelmoschus esculentus),Other vegetables,2.08,27.49,263.0,57.48,7.37,Moderate
"Mango, green, raw (Mangifera indica)",Other vegetables,0.69,49.0,147.0,14.92,33.15,Safe
"Onion, stalk (Allium cepa)",Other vegetables,2.07,25.57,312.0,28.53,15.52,Moderate
"Papaya, raw (Carica papaya)",Other vegetables,0.5,23.9,173.0,24.11,7.55,Safe
Parwar (Trichosanthes dioica),Other vegetables,1.4,24.14,117.0,33.81,2.29,Safe
"Peas, fresh (Pisum sativum)",Other vegetables,7.25,81.26,249.0,55.95,3.66,Moderate
"Plantain, flower (Musa x paradisiaca)",Other vegetables,1.47,21.27,488.0,47.31,7.51,Avoid
"Plantain, green (Musa x paradisiaca)",Other vegetables,1.18,79.83,402.0,31.69,18.57,Avoid
"Plantain, stem (Musa x paradisiaca)",Other vegetables,0.35,39.44,373.0,16.31,23.17,Avoid
"Pumpkin, green, cylindrical (Cucurbita maxima)",Other vegetables,0.87,24.62,186.0,24.51,5.21,Safe
"Pumpkin, orange, round (Cucurbita maxima)",Other vegetables,0.84,23.18,253.0,22.18,8.81,Moderate
"Red gram, tender, fresh (Cajanus cajan)",Other vegetables,8.09,124.28,616.0,141.0,2.54,Avoid
Ridge gourd (Luffa acutangula),Other vegetables,0.91,13.15,118.0,33.06,4.71,Safe
"Ridge gourd, smooth skin (Luffa acutangula)",Other vegetables,0.98,15.3,125.0,39.25,6.27,Safe
"Snake gourd, long, pale green (Trichosanthes anguina)",Other vegetables,0.98,12.43,100.0,23.27,7.07,Safe
"Snake gourd, long, dark green (Trichosanthes anguina)",Other vegetables,0.89,11.95,104.0,31.03,5.04,Safe
"Snake gourd, short (Trichosanthes anguina)",Other vegetables,0.54,14.58,84.0,21.33,2.5,Safe
"Tinda, tender (Praecitrullus fistulosus)",Other vegetables,1.02,13.86,56.18,30.37,20.61,Safe
"Tomato, green (Solanum lycopersicum)",Other vegetables,1.12,20.79,225.0,22.5,13.11,Moderate
"Tomato, ripe, hybrid (Solanum lycopersicum)",Other vegetables,0.76,18.88,167.0,15.45,11.86,Safe
"Tomato, ripe, local (Lycopersicon esculentum)",Other vegetables,0.9,19.6,204.0,18.77,9.73,Moderate
"Zucchini, green (Cucurbita pepo)",Other vegetables,1.1,20.08,178.0,21.38,0.4,Safe
"Zucchini, yellow (Cucurbita pepo)",Other vegetables,1.31,18.88,131.0,32.03,0.39,Safe
"Apple, big (Malus domestica)",Fruits,0.29,62.38,116.0,10.44,1.43,Safe
"Apple, green (Malus domestica)",Fruits,0.46,51.15,94.55,7.48,1.47,Safe
"Apple, small (Malus domestica)",Fruits,0.31,63.81,100.0,8.39,1.45,Safe
"Apple, small, Kashmir (Malus domestica)",Fruits,0.27,64.29,106.0,10.72,1.22,Safe
"Apricot, dried (Prunus armeniaca)",Fruits,3.17,315.73,285.0,72.02,3.94,Moderate
"Apricot, processed (Prunus armeniaca)",Fruits,1.47,56.41,95.0,27.33,1.6,Safe
Avocado fruit (Persea sp.),Fruits,2.95,144.36,377.0,63.14,2.81,Avoid
Bael fruit (Aegle marmelos),Fruits,2.63,135.99,409.0,37.29,1.56,Avoid
"Banana, ripe, montham (Musa x paradisiaca)",Fruits,1.25,110.66,362.0,20.85,1.25,Avoid
"Banana, ripe, poovam (Musa x paradisiaca)",Fruits,1.49,106.36,335.0,33.63,1.0,Moderate
"Banana, ripe, red (Musa x paradisiaca)",Fruits,1.29,111.62,313.0,23.27,1.11,Moderate
"Banana, ripe, robusta (Musa x paradisiaca)",Fruits,1.23,105.16,306.0,24.32,0.85,Moderate
Black berry (Rubus sp.),Fruits,0.92,54.25,205.0,20.08,1.21,Moderate
"Cherries, red (Prunus cerasus)",Fruits,1.49,59.75,165.0,25.31,1.64,Safe
"Currants, black (Ribes nigrum)",Fruits,1.51,54.25,283.0,78.8,1.45,Moderate
Custard apple (Annona squamosa),Fruits,1.62,98.95,278.0,40.81,3.11,Moderate
"Dates, dry, pale brown (Phoenix dactylifera)",Fruits,2.45,320.27,804.0,73.02,3.27,Avoid
"Dates, dry, dark brown (Phoenix dactylifera)",Fruits,2.38,310.95,782.0,70.26,3.09,Avoid
"Dates, processed (Phoenix dactylifera)",Fruits,1.18,286.09,289.0,33.88,1.6,Moderate
Fig (Ficus carica),Fruits,2.03,81.5,231.0,21.62,2.37,Moderate
Gooseberry (Emblica officinalis),Fruits,0.34,23.66,223.0,21.85,1.37,Moderate
"Grapes, seeded, round, black (Vitis vinifera)",Fruits,0.76,60.71,171.0,21.04,1.93,Safe
"Grapes, seeded, round, green (Vitis vinifera)",Fruits,0.77,56.17,166.0,19.5,1.89,Safe
